2017-05-20 16:14:17,249 - INFO  client.command - response=Command [requestId=8, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15041,"content":"hello lgh 2042","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15042,"content":"hello lgh 2043","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15043,"content":"hello lgh 2044","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15044,"content":"hello lgh 2045","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15045,"content":"hello lgh 2046","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15046,"content":"hello lgh 2047","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15047,"content":"hello lgh 2048","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15048,"content":"hello lgh 2049","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15049,"content":"hello lgh 2050","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15050,"content":"hello lgh 2051","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"}]}, extention=]
2017-05-20 16:14:17,257 - INFO  client.command - request=Command [requestId=9, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15050}, extention=null]
2017-05-20 16:14:17,257 - INFO  client.command - request=Command [requestId=10, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:17,431 - INFO  client.command - response=Command [requestId=10, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15051,"content":"hello lgh 2052","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15052,"content":"hello lgh 2053","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15053,"content":"hello lgh 2054","create_time":"May 17, 2017 10:09:04 PM","update_time":"May 17, 2017 10:09:04 PM"},{"id":15054,"content":"hello lgh 2055","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15055,"content":"hello lgh 2056","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15056,"content":"hello lgh 2057","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15057,"content":"hello lgh 2058","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15058,"content":"hello lgh 2059","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15059,"content":"hello lgh 2060","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15060,"content":"hello lgh 2061","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"}]}, extention=]
2017-05-20 16:14:17,439 - INFO  client.command - request=Command [requestId=11, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15060}, extention=null]
2017-05-20 16:14:17,440 - INFO  client.command - request=Command [requestId=12, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:17,641 - INFO  client.command - response=Command [requestId=12, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15061,"content":"hello lgh 2062","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15062,"content":"hello lgh 2063","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15063,"content":"hello lgh 2064","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15064,"content":"hello lgh 2065","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15065,"content":"hello lgh 2066","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15066,"content":"hello lgh 2067","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15067,"content":"hello lgh 2068","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15068,"content":"hello lgh 2069","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15069,"content":"hello lgh 2070","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15070,"content":"hello lgh 2071","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"}]}, extention=]
2017-05-20 16:14:17,671 - INFO  client.command - request=Command [requestId=13, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15070}, extention=null]
2017-05-20 16:14:17,672 - INFO  client.command - request=Command [requestId=14, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:17,933 - INFO  client.command - response=Command [requestId=14, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15071,"content":"hello lgh 2072","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15072,"content":"hello lgh 2073","create_time":"May 17, 2017 10:09:05 PM","update_time":"May 17, 2017 10:09:05 PM"},{"id":15073,"content":"hello lgh 2074","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15074,"content":"hello lgh 2075","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15075,"content":"hello lgh 2076","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15076,"content":"hello lgh 2077","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15077,"content":"hello lgh 2078","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15078,"content":"hello lgh 2079","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15079,"content":"hello lgh 2080","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15080,"content":"hello lgh 2081","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"}]}, extention=]
